,price,Volume,day_of_week,week_of_year,month_of_year,quarter_of_year,semester_of_year,lag_1_week,Vol_1_month,SMA20,SMA50,RSI,return
2020-05-06,277.6722106933594,10413.0,2,19,5,2,1,279.5198974609375,22790.0,271.5723747253418,265.7227615356445,63.69084979463129,-0.004775865836923354
2020-05-07,280.70050048828125,3813.0,3,19,5,2,1,284.3898010253906,15751.0,272.83289947509763,264.980637512207,61.370276115959484,0.010905987989795918
2020-05-08,282.3268127441406,19340.0,4,19,5,2,1,279.24578857421875,33056.0,273.782080078125,264.37800201416013,59.83727713083437,0.005793763292300413
2020-05-11,283.3941955566406,4897.0,0,20,5,2,1,270.598388671875,9523.0,274.7737442016602,263.82043609619143,64.40898285730701,0.0037806639834359057
2020-05-12,283.0,4329.0,1,20,5,2,1,279.00469970703125,38835.0,275.49766845703124,263.53797027587893,57.61345241092104,-0.0013909796418601905
2020-05-13,276.16448974609375,8002.0,2,20,5,2,1,277.6722106933594,17281.0,275.7908935546875,263.34420013427734,45.94285233532298,-0.02415374648023405
2020-05-14,272.806396484375,5749.0,3,20,5,2,1,280.70050048828125,12716.0,276.1172180175781,263.02537200927736,35.46259336625616,-0.012159757631425294
2020-05-15,274.6285095214844,4465.0,4,20,5,2,1,282.3268127441406,5985.0,276.41198883056643,262.66954193115237,43.67809464117832,0.006679143380033281
2020-05-18,284.5255126953125,4381.0,0,21,5,2,1,283.3941955566406,9449.0,276.99480895996095,262.46705047607423,68.43787674575701,0.03603778497386445
2020-05-19,283.59539794921875,4743.0,1,21,5,2,1,283.0,11474.0,277.42457885742186,262.2815585327148,57.57753437464739,-0.0032690029701827328
2020-05-20,284.5768127441406,1732.0,2,21,5,2,1,276.16448974609375,11281.0,278.43547973632815,262.36206695556643,61.5305660654294,0.003460616081991663
2020-05-21,281.85198974609375,39494.0,3,21,5,2,1,272.806396484375,14390.0,279.01268463134767,262.73890045166013,51.94265731961481,-0.009575000056300187
2020-05-22,282.7095947265625,2868.0,4,21,5,2,1,274.6285095214844,9556.0,279.46423492431643,263.1867562866211,50.662980797183806,0.0030427494276032974
